name,instance,hotcache,selectivity,duration_ns,num_rows,filtered_rows,num_objs,objects_read
client-vanilla,2,true,10.0,316925049914,15000000000,1500000000,15000,15000
client-cls,2,true,10.0,314688456724,15000000000,1500000000,15000,15000
cls-basic,2,true,10.0,222265614326,15000000000,1500000000,15000,15000
cls-basic-prealloc,2,true,10.0,214266522647,15000000000,1500000000,15000,15000
cls-staged,2,true,10.0,167400816433,15000000000,1500000000,15000,15000
cls-index,2,true,10.0,52887149650,15000000000,1500000000,15000,1500
pg-all,2,true,10.0,143603028395,15000000000,1500000000,15000,15000
pg-index,2,true,10.0,57194497131,15000000000,1500000000,15000,1500
client-vanilla,1,true,25.0,317135022508,15000000000,3750000000,15000,15000
client-cls,1,true,25.0,316965307708,15000000000,3750000000,15000,15000
cls-basic,1,true,25.0,343112930586,15000000000,3750000000,15000,15000
cls-basic-prealloc,1,true,25.0,313533669149,15000000000,3750000000,15000,15000
cls-staged,1,true,25.0,205053472808,15000000000,3750000000,15000,15000
cls-index,1,true,25.0,123043763118,15000000000,3750000000,15000,3750
pg-all,1,true,25.0,216786724275,15000000000,3750000000,15000,15000
pg-index,1,true,25.0,139208441079,15000000000,3750000000,15000,3750
client-vanilla,2,true,25.0,313484908223,15000000000,3750000000,15000,15000
client-cls,2,true,25.0,309073557869,15000000000,3750000000,15000,15000
cls-basic,2,true,25.0,333571663487,15000000000,3750000000,15000,15000
cls-basic-prealloc,2,true,25.0,323721029116,15000000000,3750000000,15000,15000
cls-staged,2,true,25.0,219836578338,15000000000,3750000000,15000,15000
cls-index,2,true,25.0,126336370070,15000000000,3750000000,15000,3750
pg-all,2,true,25.0,213194808906,15000000000,3750000000,15000,15000
pg-index,2,true,25.0,138533862129,15000000000,3750000000,15000,3750
client-vanilla,1,true,50.0,311573408261,15000000000,7500000000,15000,15000
client-cls,1,true,50.0,312864668885,15000000000,7500000000,15000,15000
cls-basic,1,true,50.0,558508584678,15000000000,7500000000,15000,15000
cls-basic-prealloc,1,true,50.0,506993818656,15000000000,7500000000,15000,15000
cls-staged,1,true,50.0,264279757385,15000000000,7500000000,15000,15000
cls-index,1,true,50.0,238941971881,15000000000,7500000000,15000,7500
pg-all,1,true,50.0,331681653813,15000000000,7500000000,15000,15000
pg-index,1,true,50.0,275507689896,15000000000,7500000000,15000,7500
client-vanilla,2,true,50.0,310350010543,15000000000,7500000000,15000,15000
client-cls,2,true,50.0,311030055322,15000000000,7500000000,15000,15000
cls-basic,2,true,50.0,570342875872,15000000000,7500000000,15000,15000
cls-basic-prealloc,2,true,50.0,537080453068,15000000000,7500000000,15000,15000
cls-staged,2,true,50.0,303979816152,15000000000,7500000000,15000,15000
cls-index,2,true,50.0,242795648452,15000000000,7500000000,15000,7500
pg-all,2,true,50.0,335531788283,15000000000,7500000000,15000,15000
pg-index,2,true,50.0,280300037793,15000000000,7500000000,15000,7500
client-vanilla,1,true,75.0,311375421460,15000000000,11250000000,15000,15000
client-cls,1,true,75.0,308719132466,15000000000,11250000000,15000,15000
cls-basic,1,true,75.0,750447941284,15000000000,11250000000,15000,15000
cls-basic-prealloc,1,true,75.0,690061550583,15000000000,11250000000,15000,15000
cls-staged,1,true,75.0,402464483775,15000000000,11250000000,15000,15000
cls-index,1,true,75.0,384354340217,15000000000,11250000000,15000,11250
pg-all,1,true,75.0,450371455226,15000000000,11250000000,15000,15000
pg-index,1,true,75.0,421859778638,15000000000,11250000000,15000,11250
client-vanilla,2,true,75.0,311793474753,15000000000,11250000000,15000,15000
client-cls,2,true,75.0,332843815364,15000000000,11250000000,15000,15000
cls-basic,2,true,75.0,741225925994,15000000000,11250000000,15000,15000
cls-basic-prealloc,2,true,75.0,713857037352,15000000000,11250000000,15000,15000
