filename,nosds,nobjs,query,run,time,pool,qdepth,wthreads,selectivity-pct,cls,cache
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0328.428150213,tpc,12,10,100,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0245.078127886,tpc,12,10,100,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0357.753279238,tpc,12,10,100,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0249.119402475,tpc,12,10,100,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0503.283088460,tpc,12,10,100,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0233.036490971,tpc,12,10,100,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0326.728368546,tpc,12,10,100,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0323.877079620,tpc,12,10,100,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0330.249443240,tpc,12,10,100,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0476.469106623,tpc,12,10,100,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0378.158650849,tpc,12,10,100,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,1,0175.100801855,tpc,12,10,100,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0285.083769832,tpc,12,10,100,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0215.620009200,tpc,12,10,100,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0284.712173255,tpc,12,10,100,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0208.085877506,tpc,12,10,100,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0445.492107604,tpc,12,10,100,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0365.882673978,tpc,12,10,100,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0417.270280167,tpc,12,10,100,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0253.345693798,tpc,12,10,100,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0290.296206119,tpc,12,10,100,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0250.889125929,tpc,12,10,100,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0410.105436671,tpc,12,10,100,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,2,0224.657425619,tpc,12,10,100,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0285.486473991,tpc,12,10,100,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0434.411156377,tpc,12,10,100,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0326.116456520,tpc,12,10,100,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0337.509177427,tpc,12,10,100,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0358.820814018,tpc,12,10,100,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0484.354789231,tpc,12,10,100,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0354.391979442,tpc,12,10,100,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0383.260654836,tpc,12,10,100,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0490.359066382,tpc,12,10,100,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0299.865003667,tpc,12,10,100,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0396.067370322,tpc,12,10,100,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,b,3,0175.738607501,tpc,12,10,100,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,1,0541.454371022,tpc,12,10,unique,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,1,0278.635028117,tpc,12,10,unique,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,1,0392.381132304,tpc,12,10,unique,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,1,0202.797400755,tpc,12,10,unique,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,1,0284.826396742,tpc,12,10,unique,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,1,0201.772822389,tpc,12,10,unique,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,1,0284.433859143,tpc,12,10,unique,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,1,0108.492325610,tpc,12,10,unique,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,1,0284.311934990,tpc,12,10,unique,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,1,093.332735898,tpc,12,10,unique,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,1,0284.401147379,tpc,12,10,unique,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,1,039.032343029,tpc,12,10,unique,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,2,0409.393921764,tpc,12,10,unique,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,2,0303.501595548,tpc,12,10,unique,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,2,0315.450547872,tpc,12,10,unique,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,2,0343.576203265,tpc,12,10,unique,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,2,0382.812049099,tpc,12,10,unique,false,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,2,0358.631664201,tpc,12,10,unique,false,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,2,0284.423670518,tpc,12,10,unique,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,2,091.330178407,tpc,12,10,unique,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,2,0284.268493227,tpc,12,10,unique,true,cold
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,2,0105.269303667,tpc,12,10,unique,true,hot
1osds.vary.cache.dir.log,1osds.vary.cache.dir,10000,d,2,0284.489199005,tpc,12,10,unique,true,cold
